FromNode,ToNode,Type,Length(m),Project(P/E),base_costs,Investment_Cost (Billion VND),Construction_Time (Years),Capacity,Capacity_After_Investment
7,50,R,31604,E,400,0,0,10000000,"9,239,063"
59,61,R,24325,E,400,0,0,10000000,"9,239,063"
60,61,R,15625,E,400,0,0,10000000,"6,159,375"
61,16,R,18626,E,400,0,0,10000000,"6,159,375"
62,16,R,15200,E,400,0,0,10000000,"6,159,375"
63,70,R,42006,E,400,0,0,10000000,"9,239,063"
57,27,R,34923,E,400,0,0,10000000,"9,239,063"
61,52,R,68895,E,400,0,0,10000000,"9,239,063"
52,13,R,58975,E,400,0,0,10000000,"9,239,063"
4,45,R,43592,E,400,0,0,10000000,"9,239,063"
3,47,R,78377,E,400,0,0,10000000,"9,239,063"
4,11,R,96582,E,400,0,0,10000000,"9,239,063"
49,39,R,89238,E,400,0,0,10000000,"9,239,063"
12,39,R,28354,E,400,0,0,10000000,"6,159,375"
12,43,R,12236,E,400,0,0,10000000,"6,159,375"
12,38,R,66278,E,400,0,0,10000000,"9,239,063"
12,13,R,129799,E,400,0,0,10000000,"9,239,063"
38,11,R,60966,E,400,0,0,10000000,"9,239,063"
38,44,R,36021,E,400,0,0,10000000,"9,239,063"
38,23,R,62879,E,400,0,0,10000000,"9,239,063"
38,24,R,62515,E,400,0,0,10000000,"9,239,063"
53,23,R,69830,E,400,0,0,10000000,"9,239,063"
19,40,R,59585,E,400,0,0,10000000,"9,239,063"
20,65,R,104102,E,400,0,0,10000000,"9,239,063"
40,22,R,14737,E,400,0,0,10000000,"6,159,375"
66,27,R,52717,E,400,0,0,10000000,"9,239,063"
54,74,R,73285,E,400,0,0,10000000,"9,239,063"
74,68,R,44436,E,400,0,0,10000000,"9,239,063"
68,71,R,38283,E,400,0,0,10000000,"9,239,063"
71,64,R,28651,E,400,0,0,10000000,"9,239,063"
67,30,R,65944,E,400,0,0,10000000,"9,239,063"
67,28,R,10248,E,400,0,0,10000000,"6,159,375"
28,29,R,41804,E,400,0,0,10000000,"9,239,063"
29,31,R,36816,E,400,0,0,10000000,"9,239,063"
29,32,R,67503,E,400,0,0,10000000,"9,239,063"
31,32,R,39664,E,400,0,0,10000000,"9,239,063"
32,68,R,89812,E,400,0,0,10000000,"9,239,063"
68,72,R,39602,E,400,0,0,10000000,"9,239,063"
32,26,R,136716,E,400,0,0,10000000,"9,239,063"
32,72,R,107324,E,400,0,0,10000000,"9,239,063"
34,35,R,19164,E,400,0,0,10000000,"6,159,375"
1,2,W,11366,P,400,177,2,10000000,"500,000"
2,8,W,43766,P,400,683,3,10000000,"1,000,000"
8,58,W,30838,P,400,481,3,10000000,"1,000,000"
58,37,W,88762,P,400,1385,4,10000000,"2,000,000"
51,50,W,29241,P,400,456,3,10000000,"1,000,000"
51,14,W,33761,P,400,527,3,10000000,"1,000,000"
14,37,W,23041,P,400,359,2,10000000,"1,000,000"
37,16,W,54464,P,400,849,3,10000000,"1,500,000"
16,62,W,14051,P,400,219,2,10000000,"1,000,000"
62,17,W,15429,P,400,241,2,10000000,"1,000,000"
17,36,W,34874,P,400,544,3,10000000,"1,500,000"
13,14,W,40732,P,400,635,3,10000000,"1,000,000"
13,38,W,34898,P,400,544,3,10000000,"1,000,000"
38,53,W,20622,P,400,322,2,10000000,"1,000,000"
53,43,W,22077,P,400,344,2,10000000,"1,000,000"
21,40,W,25010,P,400,390,2,10000000,"1,000,000"
40,23,W,42477,P,400,663,3,10000000,"1,000,000"
23,24,W,12810,P,400,200,2,10000000,"500,000"
24,25,W,21328,P,400,333,2,10000000,"500,000"
23,42,W,9358,P,400,146,2,10000000,"500,000"
0,1,W,48695.6,E,400,0,0,10000000,"2,000,000"
0,2,W,52182.5,E,400,0,0,10000000,"2,000,000"
2,3,W,111838.9,E,400,0,0,10000000,"2,000,000"
3,4,W,81488,E,400,0,0,10000000,"1,500,000"
4,5,W,48754,E,400,0,0,10000000,"1,500,000"
2,6,W,45619,E,400,0,0,10000000,"1,500,000"
5,6,W,25665,E,400,0,0,10000000,"1,000,000"
7,8,W,2331,E,400,0,0,10000000,"500,000"
8,9,W,23422,E,400,0,0,10000000,"1,000,000"
9,5,W,121049,E,400,0,0,10000000,"1,500,000"
39,11,W,51511,E,400,0,0,10000000,"1,000,000"
39,12,W,23724,E,400,0,0,10000000,"1,000,000"
39,38,W,39000,E,400,0,0,10000000,"1,000,000"
39,53,W,29121,E,400,0,0,10000000,"1,000,000"
53,19,W,24474,E,400,0,0,10000000,"1,000,000"
19,20,W,42612,E,400,0,0,10000000,"1,000,000"
20,21,W,19131,E,400,0,0,10000000,"1,000,000"
38,40,W,86312,E,400,0,0,10000000,"1,500,000"
38,23,W,76769,E,400,0,0,10000000,"1,500,000"
13,25,W,70867,E,400,0,0,10000000,"1,000,000"
13,26,W,69205,E,400,0,0,10000000,"1,000,000"
26,14,W,70189,E,400,0,0,10000000,"1,000,000"
15,27,W,40601,E,400,0,0,10000000,"1,000,000"
26,27,W,72040,E,400,0,0,10000000,"1,000,000"
26,32,W,123701,E,400,0,0,10000000,"1,500,000"
26,30,W,105538,E,400,0,0,10000000,"1,500,000"
