edge_id,from_node,to_node,mode,cost,capacity,distance,time
135,74,68,road,400.0,10000000.0,44.436,0.04
136,68,71,road,400.0,10000000.0,38.283,0.03
137,71,64,road,400.0,10000000.0,28.651,0.02
138,67,30,road,400.0,10000000.0,65.944,0.05
139,67,28,road,400.0,10000000.0,10.248,0.01
140,28,29,road,400.0,10000000.0,41.804,0.03
141,29,31,road,400.0,10000000.0,36.816,0.03
142,29,32,road,400.0,10000000.0,67.503,0.06
143,31,32,road,400.0,10000000.0,39.664,0.03
144,32,68,road,400.0,10000000.0,89.812,0.07
145,68,72,road,400.0,10000000.0,39.602,0.03
146,32,26,road,400.0,10000000.0,136.716,0.11
147,32,72,road,400.0,10000000.0,107.324,0.09
148,34,35,road,400.0,10000000.0,19.164,0.02
149,1,2,water,400.0,10000000.0,11.366,0.04
150,2,8,water,400.0,10000000.0,43.766,0.15
151,8,58,water,400.0,10000000.0,30.838,0.1
152,58,37,water,400.0,10000000.0,88.762,0.3
153,51,50,water,400.0,10000000.0,29.241,0.1
154,51,14,water,400.0,10000000.0,33.761,0.11
155,14,37,water,400.0,10000000.0,23.041,0.08
156,37,16,water,400.0,10000000.0,54.464,0.18
157,16,62,water,400.0,10000000.0,14.051,0.05
158,62,17,water,400.0,10000000.0,15.429,0.05
159,17,36,water,400.0,10000000.0,34.874,0.12
160,13,14,water,400.0,10000000.0,40.732,0.14
161,13,38,water,400.0,10000000.0,34.898,0.12
162,38,53,water,400.0,10000000.0,20.622,0.07
163,53,43,water,400.0,10000000.0,22.077,0.07
164,21,40,water,400.0,10000000.0,25.01,0.08
165,40,23,water,400.0,10000000.0,42.477,0.14
166,23,24,water,400.0,10000000.0,12.81,0.04
167,24,25,water,400.0,10000000.0,21.328,0.07
168,23,42,water,400.0,10000000.0,9.358,0.03
169,0,1,water,400.0,10000000.0,48.6956,0.16
170,0,2,water,400.0,10000000.0,52.1825,0.17
171,2,3,water,400.0,10000000.0,111.8389,0.37
172,3,4,water,400.0,10000000.0,81.488,0.27
173,4,5,water,400.0,10000000.0,48.754,0.16
174,2,6,water,400.0,10000000.0,45.619,0.15
175,5,6,water,400.0,10000000.0,25.665,0.09
176,7,8,water,400.0,10000000.0,2.331,0.01
177,8,9,water,400.0,10000000.0,23.422,0.08
178,9,5,water,400.0,10000000.0,121.049,0.4
179,39,11,water,400.0,10000000.0,51.511,0.17
180,39,12,water,400.0,10000000.0,23.724,0.08
181,39,38,water,400.0,10000000.0,39.0,0.13
182,39,53,water,400.0,10000000.0,29.121,0.1
183,53,19,water,400.0,10000000.0,24.474,0.08
184,19,20,water,400.0,10000000.0,42.612,0.14
185,20,21,water,400.0,10000000.0,19.131,0.06
186,38,40,water,400.0,10000000.0,86.312,0.29
187,38,23,water,400.0,10000000.0,76.769,0.26
188,13,25,water,400.0,10000000.0,70.867,0.24
189,13,26,water,400.0,10000000.0,69.205,0.23
190,26,14,water,400.0,10000000.0,70.189,0.23
191,15,27,water,400.0,10000000.0,40.601,0.14
192,26,27,water,400.0,10000000.0,72.04,0.24
193,26,32,water,400.0,10000000.0,123.701,0.41
194,26,30,water,400.0,10000000.0,105.538,0.35
195,27,32,water,400.0,10000000.0,126.042,0.42
196,27,30,water,400.0,10000000.0,98.571,0.33
197,30,31,water,400.0,10000000.0,12.222,0.04
198,31,32,water,400.0,10000000.0,49.898,0.17
199,31,33,water,400.0,10000000.0,58.202,0.19
200,31,29,water,400.0,10000000.0,35.489,0.12
201,29,28,water,400.0,10000000.0,64.592,0.22
202,18,28,water,400.0,10000000.0,81.744,0.27
203,18,30,water,400.0,10000000.0,125.092,0.42
204,18,16,water,400.0,10000000.0,47.528,0.16
205,16,58,water,400.0,10000000.0,84.776,0.28
206,22,34,water,400.0,10000000.0,71.616,0.24
207,22,35,water,400.0,10000000.0,64.363,0.21
208,41,34,water,400.0,10000000.0,130.464,0.43
209,41,35,water,400.0,10000000.0,124.05,0.41
210,37,30,water,400.0,10000000.0,126.152,0.42
211,13,51,water,400.0,10000000.0,48.482,0.16
